# Sample tuple file for the tuple feeder
# The first line contains the name of each attribute in the tuple
# The remaining lines contain tuples
# ***Don't forget to end the file with an empty line!!!***

stockSymbol,closingPrice,timestamp

MSFT,123,0
AAPL,123,0
QCOM,100,0
QLYS,40,0

MSFT,125,1
AAPL,124,1
QCOM,99,1
QLYS,38,1

MSFT,126,2
AAPL,123,2
QCOM,101,2
QLYS,37,2

MSFT,122,3
AAPL,122,3
QCOM,98,3
QLYS,36,3

MSFT,120,4
AAPL,125,4
QCOM,98,4
QLYS,35,4

MSFT,120,5
AAPL,125,5
QCOM,98,5
QLYS,35,5

MSFT,118,6
AAPL,127,6
QCOM,93,6
QLYS,34,6

MSFT,119,7
AAPL,126,7
QCOM,98,7
QLYS,33,7

MSFT,121,8
AAPL,126,8
QCOM,97,8
QLYS,34,8

MSFT,121,9
AAPL,126,9
QCOM,97,9
QLYS,34,9

MSFT,122,10
AAPL,122,10
QCOM,95,10
QLYS,36,10

MSFT,123,11
AAPL,123,11
QCOM,100,11
QLYS,40,11

MSFT,121,12
AAPL,126,12
QCOM,97,12
QLYS,34,12
